/Users/john/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
============================================================
FINDY — Procesador FINAL v5 (vectorizado)
============================================================

📂 2013 archivos encontrados

⚙️  Leyendo archivos...
  [302/2013] ✅ 8901CUPS (2).xlsx: 8,900 filas (acum: 6,755,386)
  [303/2013] ✅ 90K SIN CARGAR.xlsx: 50,000 filas (acum: 6,805,386)
  [304/2013] ✅ ALEX BBDD_MUESTRA CONTRATO.xlsx: 492 filas (acum: 6,805,878)
  [305/2013] ✅ ALUMBRA ENERGIA 22-10-25 300 CLIENTES CUENTAS 22-10-25 PARTE 9.xlsx: 379 filas (acum: 6,806,257)
  [306/2013] ✅ ANGEL 10K OFI 365 04-11-24 PARTE 2.xlsx: 9,999 filas (acum: 6,816,256)
  [307/2013] ✅ ANGEL 10K OFI 365 23-10-24 PARTE 2.xlsx: 9,999 filas (acum: 6,826,255)
  [308/2013] ✅ ANGEL 10K OFI 365 23-10-24 PARTE 5.xlsx: 9,998 filas (acum: 6,836,253)
  [309/2013] ✅ ANGEL 10K OFI 365 24-10-24 PARTE 1.xlsx: 11,122 filas (acum: 6,847,375)
  [310/2013] ✅ ANGEL 10K OFI 365 26-10-24 PARTE 3.xlsx: 9,999 filas (acum: 6,857,374)
  [311/2013] ✅ ANGEL 10K OFI 365 26-10-24 PARTE 4.xlsx: 9,999 filas (acum: 6,867,373)
  [312/2013] ✅ ANGEL 10K OFI 365 30-10-24 PARTE 10.xlsx: 9,999 filas (acum: 6,877,372)
  [313/2013] ✅ ANGEL 10K OFI 365 30-10-24 PARTE 11.xlsx: 9,999 filas (acum: 6,887,371)
  [314/2013] ✅ ANGEL 10K OFI 365 30-10-24 PARTE 12.xlsx: 10,023 filas (acum: 6,897,394)
  [315/2013] ✅ ANGEL 10K OFI 365 30-10-24 PARTE 8.xlsx: 9,999 filas (acum: 6,907,393)
